YEAR,ISR,N_AUTHORS,N_M,N_F,FA
2018,2018-10,3,2,1,M
2018,2018-09,NA,NA,NA,F
2018,2018-08,1,1,0,M
2018,2018-07,5,2,3,M
2018,2018-06,1,1,0,M
2018,2018-05,1,1,0,M
2018,2018-04,1,1,0,M
2018,2018-03,1,1,0,M
2018,2018-02,2,2,0,M
2018,2018-01,1,1,0,M
2017,2017-23,1,1,0,M
2017,2017-22,1,1,0,M
2017,2017-21,1,1,0,M
2017,2017-20,5,2,3,F
2017,2017-19,NA,NA,NA,F
2017,2017-18,1,1,0,M
2017,2017-17,3,2,1,M
2017,2017-16,6,3,3,F
2017,2017-15,1,1,0,M
2017,2017-14,2,2,0,M
2017,2017-13,1,0,1,F
2017,2017-12,2,2,0,M
2017,2017-11,2,2,0,M
2017,2017-10,NA,NA,NA,F
2017,2017-09,2,2,0,M
2017,2017-08,1,0,1,F
2017,2017-07,1,0,1,F
2017,2017-06,3,0,3,F
2017,2017-05,3,2,1,M
2017,2017-04,11,8,3,F
2017,2017-03,2,0,2,F
2017,2017-02,4,0,4,F
2017,12017-01,1,0,1,F
2016,2016-15,9,5,4,M
2016,2016-14,2,2,0,M
2016,2016-13,NA,NA,NA,F
2016,2016-12,1,0,1,F
2016,2016-11,2,2,0,M
2016,2016-10,1,0,1,F
2016,2016-09,1,1,0,M
2016,2016-08,1,1,0,M
2016,2016-07,2,2,0,M
2016,2016-06,1,0,1,F
2016,2016-05,2,2,0,M
2016,2016-04,15,10,5,F
2016,2016-03,16,11,5,F
2016,2016-02,4,2,2,M
2016,2016-01,9,6,3,F
2015,2015-05,3,2,1,M
2015,2015-06,14,9,5,M
2015,2015-03,18,10,8,M
2015,2015-02,13,8,5,F
2015,2015-01,12,8,4,M
2015,2013-13,9,6,3,M
2014,2014-01,15,8,7,F
2014,2013-09,8,4,4,M
2013,2013-16,15,9,6,F
2013,2013-08,7,4,3,M
2013,2013-07,9,3,6,F
2013,2013-06,6,2,4,F
2013,2013-05,1,1,0,M
2013,2013-04,14,10,4,M
2013,2013-03,8,5,3,M
2013,2013-02,8,5,3,F
2013,2013-01,3,1,2,F
2012,2012-02,20,15,5,F
2012,2012-01,1,1,0,M
2011,2010-11,6,6,0,M
2011,2011-05,12,8,4,M
2011,2011-04,1,1,0,M
2011,2011-03,8,7,1,M
2011,2011-02,5,2,3,F
2011,1010-13,2,2,0,M
2011,2010-12,5,5,0,M
2011,2011-01,1,1,0,M
2010,2010-10,5,4,1,M
2010,2010-08,2,2,0,M
2010,2010-09,5,4,1,M
2010,2010-15,9,7,2,F
2010,2010-14,2,2,0,M
2010,2010-07,10,8,2,M
2010,2010-06,4,3,1,F
2010,2010-05,4,3,1,F
2010,2010-04,3,3,0,M
2010,2010-03,3,3,0,M
2010,2010-02,5,4,1,M
2010,2010-01,5,3,2,M
2009,2009-01,9,7,2,M
2008,2008-01,1,1,0,M
2006,2002-01,5,5,0,M
2006,1999-01,3,3,0,M
