jd n_female n_male n_unknown
2452435.75 7 21 0
2452440.75 7 22 0
2452456.75 7 24 0
2452457.5 7 23 0
2452481.5 7 22 0
2452486.5 7 21 0
2452498.75 7 22 0
2452501.5 7 21 0
2452506.5 7 20 0
2452517.75 8 20 0
2452530.5 7 20 0
2452533.75 8 20 0
2452575.5 8 19 0
2452578.75 8 20 0
2452579.5 8 19 0
2452640.5 7 19 0
2452666.750011574 8 19 0
2452673.5 8 18 0
2452820.750011574 8 19 0
2452880.5 8 18 0
2452882.750011574 8 19 0
2452885.5 8 18 0
2452908.5 7 18 0
2452943.5 7 17 0
2452988.5 6 17 0
2453036.5 6 15 0
2453095.750011574 6 16 0
2453132.750011574 6 17 0
2453155.750011574 7 17 0
2453205.750011574 7 18 0
2453212.750011574 7 19 0
2453218.5 7 18 0
2453223.5 7 17 0
2453226.750011574 7 18 0
2453231.750011574 7 19 0
2453239.750011574 7 20 0
2453248.5 7 19 0
2453262.750011574 8 19 0
2453268.750011574 9 19 0
2453273.750011574 9 20 0
2453292.5 8 20 0
2453293.5 8 19 0
2453307.5 8 18 0
2453324.5 7 18 0
2453384.5 7 17 0
2453426.5 7 16 0
2453429.5 7 15 0
2453432.750011574 8 15 0
2453464.750011574 9 15 0
2453531.5 8 15 0
2453534.750011574 8 16 0
2453536.5 8 15 0
2453547.750011574 9 15 0
2453552.5 9 13 0
2453576.750011574 10 13 0
2453594.5 10 12 0
2453611.750011574 10 15 0
2453613.5 9 15 0
2453629.5 8 15 0
2453643.750011574 8 16 0
2453653.750011574 8 17 0
2453667.750011574 9 17 0
2453674.5 9 16 0
2453702.750011574 9 17 0
2453762.5 8 17 0
2453793.750011574 8 18 0
2453916.5 8 17 0
2453919.750011574 8 18 0
2453947.750011574 9 18 0
2453978.5 9 17 0
2453980.750011574 10 17 0
2453993.750011574 11 17 0
2454003.750011574 11 18 0
2454100.750011574 12 18 0
2454191.5 12 17 0
2454226.750011574 12 18 0
2454228.5 12 17 0
2454251.5 11 17 0
2454301.5 11 16 0
2454308.5 11 15 0
2454309.750011574 11 16 0
2454311.750011574 11 17 0
2454322.5 11 16 0
2454327.5 11 15 0
2454335.5 11 14 0
2454353.750011574 12 14 0
2454358.5 11 14 0
2454364.5 10 14 0
2454369.5 10 13 0
2454373.750011574 10 14 0
2454476.750011574 11 14 0
2454528.5 10 14 0
2454560.5 9 14 0
2454630.5 9 13 0
2454643.5 8 13 0
2454672.5 7 13 0
2454676.750011574 8 13 0
2454677.750011574 10 13 0
2454696.750011574 10 14 0
2454707.5 10 11 0
2454739.5 10 10 0
2454749.5 10 9 0
2454763.5 9 9 0
2454777.750011574 9 10 0
2454781.750011574 9 11 0
2454798.5 9 10 0
2454850.75 9 11 0
2454889.5 9 10 0
2455015.5 9 9 0
2455043.5 8 9 0
2455043.750011574 9 9 0
2455060.5 9 10 0
2455076.5 8 10 0
2455089.5 7 10 0
2455099.5 7 9 0
2455102.750011574 8 10 0
2455105.750011574 8 11 0
2455165.750011574 9 11 0
2455170.750011574 10 11 0
2455196.5 9 11 0
2455322.5 9 10 0
2455347.750011574 10 10 0
2455364.750011574 10 11 0
2455405.5 10 10 0
2455407.5 10 9 0
2455408.750011574 11 9 0
2455433.750011574 11 10 0
2455448.750011574 12 11 0
2455449.5 11 11 0
2455469.5 11 10 0
2455469.750011574 12 10 0
2455473.750011574 12 11 0
2455483.750011574 12 12 0
2455561.750011574 13 12 0
2455568.750011574 13 13 0
2455572.5 12 13 0
2455772.5 11 13 0
2455773.5 9 13 0
2455792.5 9 12 0
2455816.5 9 13 0
2455873.5 9 12 0
2455877.5 9 11 0
2455900.5 9 12 0
2455946.5 9 11 0
2456082.5 10 11 0
2456139.5 9 11 0
2456152.5 10 11 0
2456180.5 10 12 0
2456198.5 9 11 0
2456201.5 9 10 0
2456208.5 10 10 0
2456232.5 10 11 0
2456236.5 12 12 0
2456250.5 12 14 0
2456261.5 11 14 0
2456266.5 10 14 0
2456301.5 10 15 0
2456362.5 11 16 0
2456443.5 10 16 0
2456460.5 10 15 0
2456504.5 9 15 0
2456529.5 9 14 0
2456544.5 10 16 0
2456551.5 10 18 0
2456565.5 9 18 0
2456569.5 9 17 0
2456579.5 9 16 0
2456657.5 8 16 0
2456664.5 8 15 0
2456670.5 8 16 0
2456689.5 9 16 0
2456778.5 10 16 0
2456787.5 10 17 0
2456884.5 10 16 0
2456894.5 11 16 0
2456908.5 10 15 0
2456930.5 10 14 0
2456937.5 11 14 0
2457031.5 11 13 0
2457121.5 12 13 0
2457174.5 11 14 0
2457220.5 10 14 0
2457255.5 9 14 0
2457258.5 8 15 0
2457272.5 8 17 0
2457296.5 8 16 0
2457314.5 9 17 0
2457325.5 8 17 0
2457343.5 8 16 0
2457364.5 7 16 0
2457367.5 7 15 0
2457374.5 7 14 0
2457380.5 6 14 0
2457398.5 6 13 0
2457407.5 6 14 0
2457418.5 5 14 0
2457440.5 5 16 0
2457479.5 5 15 0
2457482.5 5 16 0
2457508.5 4 16 0
2457510.5 4 15 0
2457580.5 4 14 0
2457616.5 4 13 0
2457622.5 4 14 0
2457632.5 5 14 0
2457640.249988426 4 13 0
2457647.5 3 13 0
2457650.5 3 14 0
2457654.5 3 13 0
2457664.5 3 15 0
2457675.5 3 14 0
2457680.5 3 13 0
2457692.5 3 14 0
2457694.5 3 13 0
2457703.5 3 12 0
2457766.249976852 3 11 0
2457773.5 3 10 0
2457784.5 3 9 0
2457846.5 3 10 0
2457916.5 3 11 0
2457930.5 3 13 0
2457945.5 3 14 0
2457962.5 2 14 0
2457990.5 2 13 0
2458001.5 4 15 0
2458011.5 3 15 0
2458014.5 4 15 0
2458028.5 4 16 0
2458042.5 4 17 0
2458058.5 5 17 0
2458140.5 6 17 0
2458354.249988426 6 16 0
2458410.249988426 5 16 0
2458536.249988426 5 15 0
2458718.249988426 5 14 0
2458746.249988426 5 13 0
2458760.249988426 5 11 0
2458788.249988426 5 10 0
2458942.25 5 9 0
2459012.25 5 8 0
2459026.25 5 6 0
2459041.25 5 5 0
2459097.25 3 2 0
2459110.25 2 2 0
2459124.25 2 1 0
2459138.25 2 0 0
2459154.25 1 0 0
2459236.25 0 0 0
