Conf name,year,# participants,# women participants,total # speakers,# of women speakers,#invited speakers,#invited women
Science with the Hubble Space Telescope IV:Looking to the Future,2014,148,39,51,12,25,7
Astropy Project Coordination meeting,2012,25,6,0,0,0,0
STScI/JHU Astronomy Jamboree,2009,58,10,58,10,-1,-1
JWST calibration summit,2009,-1,-1,-1,-1,-1,-1
Observational Signatures of Black Hole Mergers,2009,-1,-1,-1,-1,-1,-1
Astro 2010: Astronomy and Astrophysics Decadal Survey,2009,112,22,-1,-1,-1,-1
IVOA interoperability Meeting,2007,-1,-1,-1,-1,-1,-1
Astrophysics in the Next Deacade: JWST and Concurrent Facilities,2007,208,44,19,4,-1,-1
Making the most of the great observatories,2006,80,14,20,5,9,2
Space Astrophysiscs Detectors and Detector Technologies,2000,184,22,32,5,-1,-1
