Conf name,year,# participants,# women participants,total # speakers,# of women speakers,#invited speakers,#invited women
2014 STScI Calibration Workshop,2014,107,37,33,12,9,3
2010 HST calibration workshop,2010,154,33,49,8,5,1
2005 HST calibration workshop,2005,104,18,44,4,-1,-1
2002 Calibration workshop,2002,116,17,33,4,33,4
1997 HST Calibration Workshop,1997,140,27,39,5,-1,-1
1995 HST calibration workshop,1995,-1,-1,-1,-1,21,2
1993 HST Calibration Workshop,1993,151,20,35,6,-1,-1
